ticker,date,open_price,close_price,high_price,low_price,volume
IBM,2021-02-05,115.67878,116.434036,116.453156,115.219887,4775722
IBM,2021-02-08,117.227531,118.173996,118.527725,117.017204,6158848
IBM,2021-02-09,116.5392,116.7304,117.208412,115.726578,4933982
IBM,2021-02-10,117.619499,116.864243,117.982796,115.879539,5090673
IBM,2021-02-11,116.634796,115.592735,116.835564,115.32505,5629154
IBM,2021-02-12,115.67878,115.487572,116.022942,114.808792,4049275
IBM,2021-02-16,114.866158,114.789673,115.296364,114.110901,6945231
IBM,2021-02-17,114.024857,114.694077,115.258125,113.785851,4141219
IBM,2021-02-18,115.200768,115.420647,115.621414,114.435944,5646413
IBM,2021-02-19,115.439774,113.757172,115.449333,113.173996,6881320
IBM,2021-02-22,113.288719,115.54493,115.803062,113.231361,6149643
IBM,2021-02-23,115.602295,115.401527,116.013382,114.531548,4739740
IBM,2021-02-24,115.487572,117.791588,118.059273,115.219887,6087720
IBM,2021-02-25,117.94455,117.084129,118.881454,116.959846,5953623
IBM,2021-02-26,116.873802,113.699806,116.873802,113.652008,9467346
IBM,2021-03-01,115.057358,115.430206,116.940727,114.588913,5977367
IBM,2021-03-02,115.430206,115.038239,116.5392,114.971321,4732418
IBM,2021-03-03,115.200768,116.978966,117.237091,114.703636,7744898
IBM,2021-03-04,116.634796,114.827919,117.801147,113.537285,8439651
IBM,2021-03-05,115.33461,117.428299,118.307838,114.961761,7268968
IBM,2021-03-08,117.581261,119.32122,121.271507,117.476097,7572203
IBM,2021-03-09,119.885277,118.718925,120.86998,118.699806,5867014
IBM,2021-03-10,119.550667,122.246651,122.60038,119.13002,7581199
IBM,2021-03-11,122.456978,121.548759,122.982796,121.20459,5383657
IBM,2021-03-12,121.596558,121.998085,122.06501,121.042068,4194565
IBM,2021-03-15,122.151054,122.92543,123.087952,121.931168,3577948
IBM,2021-03-16,122.638626,122.60038,122.868073,121.73996,4867247
IBM,2021-03-17,122.810707,123.355644,123.79541,121.883362,4488804
IBM,2021-03-18,123.2696,124.340347,125.239006,122.170174,6104142
IBM,2021-03-19,124.302101,123.231361,124.703636,122.877632,10297870
IBM,2021-03-22,122.848946,124.808792,124.971321,122.265778,4356485
IBM,2021-03-23,124.703636,124.722755,125.774376,124.091782,4556794
IBM,2021-03-24,125.191208,124.875717,126.300194,124.827919,4189230
IBM,2021-03-25,124.598473,127.217972,127.380501,124.063095,5809484
IBM,2021-03-26,127.428299,130.382416,130.478012,127.265778,5823710
IBM,2021-03-29,130.0,129.885284,131.042068,129.550674,4835344
IBM,2021-03-30,129.885284,128.79541,130.277252,128.12619,5010758
IBM,2021-03-31,128.623322,127.39962,128.785858,126.873802,5172575
IBM,2021-04-01,127.877632,127.370934,128.040146,126.453156,4261404
IBM,2021-04-05,127.762909,129.952194,130.678772,127.533463,5722980
IBM,2021-04-06,129.617584,128.317398,129.674957,128.193115,3787566
IBM,2021-04-07,127.954109,128.99617,129.005737,127.896751,3112896
IBM,2021-04-08,128.652008,129.177826,129.66539,128.26004,4275211
IBM,2021-04-09,128.938812,129.761002,129.770554,128.785858,3162999
IBM,2021-04-12,129.082214,128.671127,129.416824,127.963669,3926684
IBM,2021-04-13,127.151054,125.411087,127.74379,124.646271,8403041
IBM,2021-04-14,125.53537,126.797325,126.940727,124.780113,6137928
IBM,2021-04-15,127.418739,126.749519,127.982796,126.405357,4062664
IBM,2021-04-16,127.151054,127.715103,128.202682,127.103249,5535223
IBM,2021-04-19,127.724663,127.265778,127.93499,126.749519,8575736
IBM,2021-04-20,131.042068,132.084137,133.623322,130.688339,16192708
IBM,2021-04-21,131.988525,137.237091,137.40918,131.653915,12456814
IBM,2021-04-22,137.380493,135.066925,138.374756,134.79924,7428064
IBM,2021-04-23,135.095596,136.166351,137.294449,134.751434,4765576
IBM,2021-04-26,136.156784,135.344162,137.313583,135.258133,4927497
IBM,2021-04-27,135.458893,135.764816,136.290634,134.560226,4062664
IBM,2021-04-28,136.634796,136.711288,137.093689,135.850861,3941433
IBM,2021-04-29,137.79158,137.896744,142.198853,136.692154,4554179
IBM,2021-04-30,137.380493,135.640533,137.504776,134.369019,9280321
IBM,2021-05-03,137.485657,138.384323,139.340347,137.237091,5997241
IBM,2021-05-04,138.05928,139.340347,140.143402,137.982788,6642623
IBM,2021-05-05,139.521988,138.833649,139.521988,138.59465,5229895
IBM,2021-05-06,138.871887,141.892929,141.978973,138.79541,7848661
IBM,2021-05-07,139.502869,139.063095,139.713196,138.212234,7325661
IBM,2021-05-10,139.388138,139.741867,141.854691,139.388138,7304636
IBM,2021-05-11,138.61377,137.877625,138.804977,136.615677,7454214
IBM,2021-05-12,137.514343,135.086044,137.810699,134.933075,6233742
IBM,2021-05-13,135.229446,137.829834,138.527725,135.066925,4807207
IBM,2021-05-14,138.728485,138.317398,139.28299,137.629059,2873780
IBM,2021-05-17,138.087952,138.728485,139.388138,137.982788,4471755
IBM,2021-05-18,138.412994,137.581268,138.910141,136.931168,4000009
IBM,2021-05-19,136.061188,136.892929,136.902481,134.722748,4498532
IBM,2021-05-20,136.826004,137.552582,138.537292,135.908218,4301675
IBM,2021-05-21,137.934998,138.374756,139.292542,137.934998,4219041
IBM,2021-05-24,138.680695,138.355637,138.99617,137.839386,3449290
IBM,2021-05-25,138.546844,137.466537,138.623322,136.902481,4118311
IBM,2021-05-26,137.189301,137.07457,137.657745,136.749527,3225655
IBM,2021-05-27,137.495224,137.495224,138.403442,137.313583,5889294
IBM,2021-05-28,137.868073,137.418732,137.982788,137.179733,2651192
IBM,2021-06-01,138.623322,137.848953,139.416824,137.428299,2528705
IBM,2021-06-02,138.26004,139.311661,139.340347,137.772461,2915097
IBM,2021-06-03,138.537292,139.149139,139.46463,137.705551,4320608
IBM,2021-06-04,139.579346,140.936905,141.061188,139.349899,3261323
IBM,2021-06-07,141.061188,141.510513,142.198853,140.697891,3621984
IBM,2021-06-08,141.606125,142.514343,143.59465,141.606125,5313785
IBM,2021-06-09,142.476105,144.043976,144.426392,142.27533,5547252
IBM,2021-06-10,144.808792,143.919693,146.118546,143.173996,4977391
IBM,2021-06-11,143.814529,144.627151,145.172089,143.757172,3596462
IBM,2021-06-14,144.082214,143.432129,144.388138,142.122375,3498661
IBM,2021-06-15,143.26004,142.79158,143.317398,142.065002,2628912
IBM,2021-06-16,143.173996,141.328873,143.173996,140.745697,4057329
IBM,2021-06-17,141.061188,139.196945,141.548752,138.891006,4568300
IBM,2021-06-18,138.12619,136.826004,138.317398,136.749527,9577699
IBM,2021-06-21,137.772461,140.20076,140.602295,137.72467,4482633
IBM,2021-06-22,140.076477,139.923523,140.353729,138.957932,2549102
IBM,2021-06-23,139.990433,138.250473,140.057358,138.212234,3349920
IBM,2021-06-24,139.388138,139.043976,139.761002,138.326965,3775746
IBM,2021-06-25,138.986618,140.382416,140.468445,138.575531,3759533
IBM,2021-06-28,140.544937,138.900574,140.822174,138.537292,4067789
